Date,SP500,STOXX50
2009-12-01,1108.859985,2871.75
2009-12-02,1109.23999,2877.939941
2009-12-03,1099.920044,2876.139893
2009-12-04,1105.97998,2910.330078
2009-12-07,1103.25,2896.22998
2009-12-08,1091.939941,2849.169922
2009-12-09,1095.949951,2818.100098
2009-12-10,1102.349976,2851.290039
2009-12-11,1106.410034,2862.320068
2009-12-14,1114.109985,2885.0
2009-12-15,1107.930054,2888.580078
2009-12-16,1109.180054,2926.52002
2009-12-17,1096.079956,2891.659912
2009-12-18,1102.469971,2871.219971
2009-12-21,1114.050049,2926.050049
2009-12-22,1118.02002,2945.709961
2009-12-23,1120.589966,2957.47998
2009-12-24,1126.47998,2957.47998
2009-12-28,1127.780029,2982.419922
2009-12-29,1126.199951,2992.080078
2009-12-30,1126.420044,2966.23999
2009-12-31,1115.099976,2966.23999
2010-01-04,1132.98999,3017.800049
2010-01-05,1136.52002,3012.360107
2010-01-06,1137.140015,3009.659912
2010-01-07,1141.689941,3007.340088
2010-01-08,1144.97998,3017.850098
2010-01-11,1146.97998,3010.23999
2010-01-12,1136.219971,2976.889893
2010-01-13,1145.680054,2978.409912
2010-01-14,1148.459961,2989.709961
2010-01-15,1136.030029,2940.25
2010-01-19,1150.22998,2984.820068
2010-01-20,1138.040039,2914.600098
2010-01-21,1116.47998,2863.25
2010-01-22,1091.76001,2836.800049
2010-01-25,1096.780029,2807.300049
2010-01-26,1092.170044,2827.73999
2010-01-27,1097.5,2787.399902
2010-01-28,1084.530029,2737.330078
2010-01-29,1073.869995,2776.830078
2010-02-01,1089.189941,2793.290039
2010-02-02,1103.319946,2830.01001
2010-02-03,1097.280029,2804.610107
2010-02-04,1063.109985,2707.449951
2010-02-05,1066.189941,2631.639893
2010-02-08,1056.73999,2664.290039
2010-02-09,1070.52002,2668.429932
2010-02-10,1068.130005,2700.169922
2010-02-11,1078.469971,2680.25
2010-02-12,1075.51001,2674.459961
2010-02-16,1094.869995,2720.77002
